"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ANC25LA048","ACC","200311","2025-06-07T17:20:00Z","Mojave","California","United States",,"N724SC","C0594","false","Aviation","",,,"None","0","0","0","0",,,,,"35.058661000000001","-118.15698999999999","CZECH SPORT AIRCRAFT A S","SPORTCRUISER","AIR","KMHV","Mojave Air & Space Port/Rutan Field","false","1",,,"INST","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200311/pdf"
"CEN25LA201","ACC","200289","2025-06-07T15:30:00Z","Pawhuska","Oklahoma","United States",,"N25DB",,"false","Aviation","",,,,,,,,,,,,,,"BURT DONALD R","LANCAIR 235",,,,"false",,,,,,,,,"Landing","In work",,,"",""
"CEN25FA198","ACC","200281","2025-06-07T14:59:00Z","Waterman","Illinois","United States",,"N1846E",,"false","Aviation","",,,"Fatal","1","1","0","2",,,,,,,"AERONCA","7AC",,,,"false",,,,"PERS","091",,"VMC",,"Maneuvering","In work",,,"",""
"ERA25LA223","ACC","200286","2025-06-07T13:10:00Z","Hebron","Ohio","United States",,"N6804B","22-4099","false","Aviation","",,,"None","0","0","0","0",,,,,"39.957963999999997","-82.540863000000002","PIPER","PA22","AIR","9OA5","BUCKEYE","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200286/pdf"
"WPR25LA171","ACC","200291","2025-06-07T13:00:00Z","Haywood","California","United States",,"N150YK",,"false","Aviation","",,,"Minor","0","0","1","1",,,,,,,"YAKOVLEV","YAK-50",,,,"false",,,,,"091",,,,"Initial Climb","In work",,,"",""
"ANC25LA052","ACC","200324","2025-06-07T02:15:00Z","Cantwell","Alaska","United States",,"N2101Q",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"STINSON","108",,,,"false",,,,,"091",,"VMC",,"Landing","In work",,,"",""
"CEN25FA197","ACC","200279","2025-06-06T18:30:00Z","Woodville","Arkansas","United States",,"N9185F",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"AIR TRACTOR INC","AT-502",,,,"false",,,,"AAPL","137",,"VMC","FARM BROTHERS FLYERS A LLC","Takeoff","In work",,,"",""
"WPR25LA170","ACC","200290","2025-06-06T05:30:00Z","Maricopa","Arizona","United States",,"N45659",,"false","Aviation","",,,"Minor","0","0","2","2",,,,,,,"CESSNA","150M",,,,"false",,,,,"091",,"VMC",,"Initial Climb","In work",,,"",""
"CEN25LA200","ACC","200287","2025-06-05T18:37:00Z","Jonesboro","Arkansas","United States",,"N45113","502-0094","false","Aviation","",,,"Serious","0","1","0","1","0",,,,"35.752381","-90.832076000000001","AIR TRACTOR INC","AT-502","AIR","PVT",,"false","1",,,"AAPL","137","Substantial","VMC","Over and Under Flying Service","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200287/pdf"
"CEN25LA196","ACC","200276","2025-06-05T11:55:00Z","Waupaca","Wisconsin","United States",,"N755SD","C04050295","false","Aviation","",,,"Minor","0","0","2","2",,,,,"44.33325","-89.019778000000002","GALLOW DANIEL A","KITFOX CLASSIC IV","AIR","PCZ",,"false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200276/pdf"
"ERA25LA219","ACC","200271","2025-06-05T10:00:00Z","Medina","Ohio","United States",,"N75FW","C75-11088","false","Aviation","",,,"None","0","0","0","0","0",,,,"41.131641999999999","-81.766381999999993","FRED L WELLMAN","CH 750 CRUZER","AIR","PVT",,"false","1",,,"FLTS","091","Substantial","VMC",,"Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200271/pdf"
"ERA25LA217","ACC","200265","2025-06-04T13:41:00Z","Melbourne","Florida","United States",,"N2109P",,"false","Aviation","",,,,,,,,,,,,,,"PIPER","PA-23",,,,"false",,,,,"091",,,,"Approach","In work",,,"",""
"ANC25FA044","ACC","200266","2025-06-04T10:55:00Z","Kaparuk","Alaska","United States",,"N962MD",,"false","Aviation","",,,"Fatal","2","0","0","2",,,,,,,"ROBINSON HELICOPTER CO","R66",,,,"false",,,,"BUS","135",,,"Pollux","Enroute","In work",,,"",""
"CEN25FA194","ACC","200255","2025-06-03T11:45:00Z","Farmington","North Carolina","United States",,"N40158","108-88","false","Aviation","",,,"Fatal","2","1","0","3","0",,,,"35.988796999999998","-80.510403999999994","UNIVERSAL STINSON","108","AIR","5NC2","Sugar Valley Airport","false","1",,,"PERS","091","Substantial","VMC",,"Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200255/pdf"
"CEN25LA195","ACC","200270","2025-06-02T11:30:00Z","Charlevoix","Michigan","United States",,"N71149","18259511","false","Aviation","",,,"None","0","0","0","0","0",,,,"45.305289999999999","-85.269143","CESSNA","182","AIR","CVX","CHARLEVOIX MUNI","false","1",,,"BUS","091","Substantial","VMC","SKYDIVE HARBOR SPRINGS INC","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200270/pdf"
"CEN25LA191","ACC","200249","2025-06-02T10:00:00Z","Hamlet","Nebraska","United States",,"N60057","401-0951","false","Aviation","",,,"None","0","0","0","0","0",,,,"40.385247","-101.19483","Air Tractor Inc","AT-401","AIR","N/A",,"false","1",,,"AAPL","137","Substantial","VMC","Sunflower Aero Inc","Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200249/pdf"
"CEN25LA202","ACC","200294","2025-06-01T15:00:00Z","Hampshire","Illinois","United States",,"N9839E","270","false","Aviation","",,,"None","0","0","0","0","0",,,,"42.153961000000002","-88.511494999999996","SCHWEIZER","SGS 1-26C","GLI","55LL","SKY SOARING","false","0",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200294/pdf"
"ERA25LA215","ACC","200256","2025-06-01T10:26:00Z","New Haven","Connecticut","United States",,"N2242Z",,"false","Aviation","",,,,,,,,,,,,,,"PIPER","PA-32-300",,,,"false",,,,,,,,"N2242Z LLC","Enroute","In work",,,"",""
"ERA25LA218","ACC","200269","2025-06-01T09:00:00Z","Elkwood","Virginia","United States",,"N10602",,"false","Aviation","",,,,,,,,,,,,,,"NORTH AMERICAN","AT-6D",,,,"false",,,,,"091",,,"FORTIN FRANCIS G JR","Landing","In work",,,"",""
"CEN25LA193","ACC","200252","2025-05-31T15:43:00Z","Columbus","Mississippi","United States",,"N177LS","17702620","false","Aviation","",,,"Minor","0","0","1","1","0",,,,"33.430256","-88.323272000000003","CESSNA","177B","AIR","UBS",,"false","1",,,"PERS","091","Substantial",,"CHAV LLC","Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200252/pdf"
"CEN25LA192","ACC","200250","2025-05-30T16:30:00Z","Tulsa","Oklahoma","United States",,"N130XR",,"false","Aviation","",,,"Serious","0","2","0","2","0",,,,,,"PIPER","PA-32RT-300T",,,,"false",,,,,,,,"M&A ADAMS FAMILY LP","Approach","In work",,,"",""
"WPR25LA165","ACC","200245","2025-05-29T19:00:00Z","Lewiston","Montana","United States",,"N90393",,"false","Aviation","",,,"Minor","0","0","1","1",,,,,,,"WEATHERLY AVIATION CO INC","620B",,,,"false",,,,"AAPL","137",,"VMC","SKYLINE AVIATION LLC","Maneuvering","In work",,,"",""
"CEN25LA190","ACC","200247","2025-05-29T10:50:00Z","Hope","Arkansas","United States",,"N873YD","1931","false","Aviation","",,,"Serious","0","1","1","2","0",,,,"33.719980999999997","-93.658904000000007","GERALD NELSON","NELSON SPECIAL","AIR","M18",,"false","1",,,"PERS","091","Substantial",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200247/pdf"
"WPR25LA164","ACC","200238","2025-05-29T09:45:00Z","Tucson Estates","Arizona","United States",,"N6419B","21062762","false","Aviation","",,,"None","0","0","0","0",,,,,"32.142211000000003","-111.17457","CESSNA","T210M","AIR","RYN","Ryan Field Airport","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200238/pdf"
"WPR25LA163","ACC","200237","2025-05-27T13:30:00Z","Fairfield","Utah","United States",,"N327KM",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"RANS","S20",,,,"false",,,,"PERS","091",,"VMC",,"Emergency Descent","In work",,,"",""
"ANC25LA042","ACC","200234","2025-05-27T09:30:00Z","Juneau","Alaska","United States",,"N339AK, N753AK","454, 007","false","Aviation","",,,"None","0","0","0","0",,,,,"58.353316999999997","-134.59397000000001","DEHAVILLAND, DEHAVILLAND","DHC-3, DHC-3","AIR, AIR","JNU","JUNEAU INTL","false, false","1, 1",,,"BUS, UNK","091, UNK","Substantial, Minor","VMC","DH LEASING LLC, DH LEASING LLC","Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200234/pdf"
"WPR25LA162","ACC","200224","2025-05-26T16:11:00Z","Monroe","Washington","United States",,"N6132G","17273570","false","Aviation","",,,"None","0","0","0","0",,,,,"47.871364","-121.99524","CESSNA","172N","AIR","W16","First Air Field","false","1",,,"INST","091","Substantial","VMC","MORCOM AVIATION SERVICES INC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200224/pdf"
"CEN25LA188","ACC","200228","2025-05-26T15:40:00Z","Vega","Texas","United States",,"N7175D","18-5634","false","Aviation","",,,"Serious","0","2","0","2","0",,,,"35.235841999999998","-102.39919","PIPER","PA-18","AIR","E52","OLDHAM COUNTY","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200228/pdf"
"ERA25LA212","ACC","200206","2025-05-25T12:14:00Z","Fremont","Ohio","United States",,"N260LA","602-1268","false","Aviation","",,,"None","0","0","0","0",,,,,"41.415689999999998","-83.01849","AIR TRACTOR INC","AT-602","AIR","03OH","Gibbs Fiel","false","1",,,"AAPL","137","Substantial","VMC","GIBBS AERO SPRAY","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200206/pdf"
"ERA25FA211","ACC","200201","2025-05-25T10:07:00Z","Geneva","Ohio","United States",,"N514JG","5144","false","Aviation","",,,"Fatal","1","1","0","2","0",,,,"41.765925000000003","-80.909052000000003","ZENITH","STOL CH701","AIR","7D9","Germack Airport","true","1",,,"FLTS","091","Substantial","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200201/pdf"
"ERA25LA210","ACC","200200","2025-05-24T18:17:00Z","Abingdon","Virginia","United States",,"N813JC","120219","false","Aviation","",,,"Serious","0","1","0","1","0",,,,"36.693578000000002","-82.034938999999994","VANS AIRCRAFT INC","RV-12","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200200/pdf"
"CEN25FA184","ACC","200202","2025-05-24T16:58:00Z","Hankamer","Texas","United States",,"N5903N","14520","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"29.835034","-94.579837999999995","Rockwell Commander","114A","AIR",,,"false","1",,,"PERS","091","Destroyed","VMC",,"Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200202/pdf"
"CEN25LA187","ACC","200219","2025-05-23T20:30:00Z","Goudeau","Louisiana","United States",,"N216TA","602-1227","false","Aviation","",,,"None","0","0","0","0",,,,,"30.871859000000001","-92.014285000000001","AIR TRACTOR INC","AT-602","AIR",,,"false","1",,,"AAPL","137","Substantial",,"TAILWINDS AIR INC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200219/pdf"
"ANC25LA040","ACC","200225","2025-05-23T09:12:00Z","San Luis Obispo","California","United States",,"N797CK","1694","false","Aviation","",,,"None","0","0","0","0",,,,,"35.236848000000002","-120.64157","CIRRUS DESIGN CORP","SR22T","AIR","KSBP","San Luis Obispo County Regional Airport","false","1",,,"PERS","091","Substantial","VMC",,"Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200225/pdf"
"CEN25FA183","ACC","200194","2025-05-23T07:18:00Z","Miami","Texas","United States",,"N1195P","13625","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"35.749408000000003","-100.74963","ROBINSON HELICOPTER COMPANY","R44 II","HELI",,,"false","1",,,"PERS","091","Destroyed","IMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200194/pdf"
"ANC25LA041","ACC","200226","2025-05-22T19:10:00Z","Susitna","Alaska","United States",,"N1364C","18-2613","false","Aviation","",,,"None","0","0","0","0",,,,,"61.596646","-150.48390000000001","PIPER","PA-18A 150","AIR",,,"false","1",,,"PERS","091","Substantial",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200226/pdf"
"CEN25LA185","ACC","200214","2025-05-22T12:41:00Z","Arlington","Texas","United States",,"N3239Q",,"false","Aviation","",,,,,,,,,,,,,,"CESSNA","401",,,,"false",,,,,,,,,"Landing","In work",,,"",""
"ERA25LA213","ACC","200212","2025-05-22T11:40:00Z","Murfreesboro","Tennessee","United States",,"N6317D","17272715","false","Aviation","",,,"None","0","0","0","0",,,,,"35.878653999999997","-86.377467999999993","CESSNA","172N","AIR","MBT","MURFREESBORO MUNI","false","1",,,"INST","091","Substantial","VMC","JKG LLC","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200212/pdf"
"ERA25LA209","ACC","200198","2025-05-22T07:35:00Z","Montgomery","Alabama","United States",,"N1298M","18264280","false","Aviation","",,,"None","0","0","0","0",,,,,"32.300742","-86.391276000000005","CESSNA","182P","AIR","MGM","MONTGOMERY RGNL (DANNELLY FLD)","false","1",,,"PERS","091","Substantial","VMC",,"Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200198/pdf"
"WPR25FA161","ACC","200192","2025-05-22T03:47:00Z","San Diego","California","United States",,"N666DS",,"false","Aviation","",,,"Fatal","6","0","8","6","8",,,,,,"CESSNA","S550",,,,"false",,,,"BUS","091",,"IMC","DAVIATOR LLC","Approach","In work",,,"",""
"ERA25LA204","ACC","200184","2025-05-19T19:41:00Z","Fort Washington","Pennsylvania","United States",,"N117NC","7517","false","Aviation","",,,"Minor","0","0","3","3",,,,,"40.116432000000003","-75.242765000000006","EUROCOPTER DEUTSCHLAND GMBH","MBB-BK 117 C-1","HELI","LOM","Wings Field Airport","false","2",,"NSCH","BUS","135","Substantial","VMC","TRIPLE M LEASING LLC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200184/pdf"
"CEN25LA180","ACC","200173","2025-05-18T14:20:00Z","Mountain View","Missouri","United States",,"N4831A","102898","false","Aviation","",,,"None","0","0","0","0",,,,,"36.992832999999997","-91.714472000000001","EXCALIBUR AIRCRAFT","EXCALIBUR","AIR","MNF",,"false","1",,,"PERS","091","Substantial",,"MARCAK BENNIE J","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200173/pdf"
"ERA25LA214","ACC","200220","2025-05-18T14:16:00Z","Greenville","South Carolina","United States",,"N864AJ","75-8067","false","Aviation","",,,"None","0","0","0","0","0",,,,"34.848550000000003","-82.461838999999998","Jernigan","Zenith 750","AIR","NONE",,"true","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200220/pdf"
"ANC25LA039","ACC","200181","2025-05-18T14:12:00Z","Willow","Alaska","United States",,"N44473","10273","false","Aviation","",,,"None","0","0","0","0",,,,,"61.637979999999999","-150.37179","TAYLORCRAFT","BC12-D1","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200181/pdf"
"WPR25LA160","ACC","200182","2025-05-17T21:11:00Z","Henderson","Nevada","United States",,"N220JP","787","false","Aviation","",,,"None","0","0","0","0",,,,,"35.972591999999999","-115.13308000000001","PILATUS AIRCRAFT LTD","PC-12/47","AIR","HND",,"false","1",,,,"091K","Substantial",,"DRAGONGLASS LLC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200182/pdf"
"ERA25LA203","ACC","200177","2025-05-17T16:00:00Z","Dahlgren Center","Virginia","United States",,"N154RL","154","false","Aviation","",,,"Serious","0","1","0","1","0",,,,"38.332878000000001","-77.037011000000007","SEAMAX AIRCRAFT LTDA","SEAMAX M-22","AIR",,,"false","1",,"NSCH","PERS","091","Substantial","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200177/pdf"
"WPR25FA156","ACC","200167","2025-05-17T11:34:00Z","Prineville","Oregon","United States",,"N163AK","0097","false","Aviation","",,,"Fatal","1","1","0","2",,,,,"44.297356000000001","-120.90052","DB AEROCOPTER LTD","AK1-3","HELI","S39",,"false","1",,,"INST","091","Substantial","VMC",,"Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200167/pdf"
"WPR25LA159","ACC","200179","2025-05-17T10:22:00Z","Olivehurst","California","United States",,"N28DE","138275","false","Aviation","",,,"Serious","0","2","0","2",,,,,"39.084719999999997","-121.58625000000001","NORTH AMERICAN","T-28B","AIR","MYV","YUBA COUNTY","false","1",,,"PERS","091","Substantial","VMC","HMONG MEMORIAL FOUNDATION","Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200179/pdf"
"CEN25FA178","ACC","200166","2025-05-17T10:03:00Z","Broomfield","Colorado","United States",,"N4321Z","TC-1463","false","Aviation","",,,"Fatal","2","0","0","2",,,,,"39.934344000000003","-105.11678999999999","BEECH","95-B55 (T42A)","AIR","BJC","Rocky Mountain Metro","false","2",,,"PERS","091","Destroyed","VMC","CEDOCS","Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200166/pdf"
"ERA25FA202","ACC","200165","2025-05-16T16:42:00Z","Pittstown","New Jersey","United States",,"N3300K","02325AM-4","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"40.596206000000002","-75.015399000000002","HARTEVELD DREW J","CHINOOK PLUS 2","AIR","N85","Alexandria Airport","true","1",,,"PERS","091","Destroyed","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200165/pdf"
"CEN25LA182","ACC","200176","2025-05-16T14:59:00Z","Houston","Texas","United States",,"N6376S","CE-619","false","Aviation","",,,"None","0","0","0","0","0",,,,"29.808800000000002","-95.661199999999994","BEECH","F33A","AIR","IWS","West Houston","false","1",,,"PERS","091","Destroyed","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200176/pdf"
"CEN25LA179","ACC","200171","2025-05-15T20:30:00Z","Wahoo","Nebraska","United States",,"N2614V","177RG0632","false","Aviation","",,,"None","0","0","0","0","0",,,,"41.240605000000002","-96.594549000000001","CESSNA","177RG","AIR","AHQ","WAHOO MUNI","false","1",,,"PERS","091","Substantial","VMC",,"Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200171/pdf"
"CEN25LA181","ACC","200174","2025-05-15T13:39:00Z","Terre Haute","Indiana","United States",,"N420GP","53420","false","Aviation","",,,"Serious","0","1","1","2","0",,,,"39.460264000000002","-87.295844000000002","GRUMMAN","TBM-3","AIR","HUF","TERRE HAUTE RGNL","false","1",,,"POSI","091","Substantial","VMC","TRI-STATE WARBIRD MUSEUM","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200174/pdf"
"CEN25LA177","ACC","200156","2025-05-14T13:00:00Z","Hinckley","Illinois","United States",,"N246GC","6193","false","Aviation","",,,"None","0","0","0","0",,,,,"41.770862999999999","-88.703413999999995","ROLLADEN-SCHNEIDER","LS-6B","GLI","0C2","HINCKLEY","false","0",,,"PERS","091","Substantial",,,"Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200156/pdf"
"ERA25LA205","ACC","200185","2025-05-13T12:58:00Z","Houserville","Pennsylvania","United States",,"N2840R","D-7221","false","Aviation","",,,"None","0","0","0","0","0",,,,"40.850000000000001","-77.847583","BEECH","P35","AIR","UNV","STATE COLLEGE RGNL","false","1",,,"PERS","091","Substantial","IMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200185/pdf"
"CEN25LA175","ACC","200146","2025-05-11T12:31:00Z","Greenwood","Indiana","United States",,"N253MA","4636353","false","Aviation","",,,"Serious","0","2","0","2","0",,,,"39.627611000000002","-86.088027999999994","PIPER","PA 46-350P","AIR","HFY","INDY SOUTH GREENWOOD","false","1",,,"PERS","091","Substantial","VMC","HOOSIER DOC LLC","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200146/pdf"
